Load[kg],Hour,Minute,Second
3.790000,12,30,20
3.790000,12,30,20
3.790000,12,30,20
3.790000,12,30,20
3.790000,12,30,21
3.790000,12,30,21
3.790000,12,30,21
3.790000,12,30,21
3.790000,12,30,21
3.790000,12,30,21
3.790000,12,30,22
3.790000,12,30,22
3.790000,12,30,22
3.790000,12,30,22
3.790000,12,30,22
3.790000,12,30,23
3.790000,12,30,23
3.790000,12,30,23
3.790000,12,30,23
3.790000,12,30,23
3.790000,12,30,24
3.790000,12,30,24
3.790000,12,30,24
3.790000,12,30,24
3.790000,12,30,24
3.790000,12,30,24
3.790000,12,30,25
3.790000,12,30,25
3.790000,12,30,25
3.790000,12,30,25
3.790000,12,30,25
3.790000,12,30,26
3.790000,12,30,26
3.790000,12,30,26
3.790000,12,30,26
